itemString,marketValue,minBuyout,historical,numAuctions,date
116568,79752516,91072600,66432491,1,2021-03-15 07:54:20
128312,900000000,0,300907272,0,2021-03-15 07:54:20
55540,1284343,2226500,1719844,1,2021-03-15 07:54:20
111441,845472,0,423065,0,2021-03-15 07:54:20
113992,1497132,1500800,1845785,2,2021-03-15 07:54:20
58489,6697011,0,6313756,0,2021-03-15 07:54:20
82255,330459,52800,412378,1,2021-03-15 07:54:20
52770,42887990,59983100,22251792,1,2021-03-15 07:54:20
115525,33351943,20002700,52947420,2,2021-03-15 07:54:20
109143,67940,50000,43503,5,2021-03-15 07:54:20
15650,19981395,15842500,26983547,1,2021-03-15 07:54:20
2889,4080477,4009200,6398050,3,2021-03-15 07:54:20
109155,4789952,2500000,10019280,3,2021-03-15 07:54:20
14175,119212528,116218900,148019361,4,2021-03-15 07:54:20
15645,22037488,22136800,19360649,2,2021-03-15 07:54:20
87580,26773144,0,7405753,0,2021-03-15 07:54:20
36387,9966891,9966900,9980427,1,2021-03-15 07:54:20
6294,0,0,100000500,0,2021-03-15 07:54:20
43974,49463012,0,62166822,0,2021-03-15 07:54:20
55536,8030896,0,12605973,0,2021-03-15 07:54:20
112299,0,0,15230143,0,2021-03-15 07:54:20
15235,1235815,1099400,940801,4,2021-03-15 07:54:20
14932,45277726,29990000,30944968,1,2021-03-15 07:54:20
2772,231531,367700,119690,5,2021-03-15 07:54:20
113261,13369,20000,10321,13,2021-03-15 07:54:20
118631,3194760,0,5630382,0,2021-03-15 07:54:20
82282,84754,90000,659906,2,2021-03-15 07:54:20
113588,530829,424300,693828,19,2021-03-15 07:54:20
45789,202291,99700,2465389,5,2021-03-15 07:54:20
35624,319533,290000,244008,9,2021-03-15 07:54:20
6657,726632,600100,1980865,4,2021-03-15 07:54:20
11150,99429900,0,105469279,0,2021-03-15 07:54:20
21305,1649441,850000,792916,9,2021-03-15 07:54:20
41550,7691846,7237400,4262076,1,2021-03-15 07:54:20
104138,172269,50000,3970618,3,2021-03-15 07:54:20
13134,7539214,7800500,9802112,3,2021-03-15 07:54:20
14669,7032494,32707400,8352268,1,2021-03-15 07:54:20
115800,11739747,8507400,14115921,1,2021-03-15 07:54:20
10059,2009079,2519700,2710272,1,2021-03-15 07:54:20
29505,402057707,0,415174433,0,2021-03-15 07:54:20
111444,41900,0,353875,0,2021-03-15 07:54:20
36218,10435081,15397800,8170187,3,2021-03-15 07:54:20
25026,2515565,499900,2278761,4,2021-03-15 07:54:20
11207,16783474,5000000,35216406,8,2021-03-15 07:54:20
8133,18245776,19165800,5823408,1,2021-03-15 07:54:20
3173,8282,1000,17130,8,2021-03-15 07:54:20
82169,32186788,32000000,32837295,1,2021-03-15 07:54:20
