itemString,marketValue,minBuyout,historical,numAuctions,date
68915,2267583,800000,3822895,5,2021-03-15 07:54:26
14132,572148,572000,336717,6,2021-03-15 07:54:26
113261,11151,7900,10790,45,2021-03-15 07:54:26
14047,4762,9900,2474,45,2021-03-15 07:54:26
36909,704249,549900,486098,32,2021-03-15 07:54:26
7078,13320,12500,4510,24,2021-03-15 07:54:26
4343,87583,45000,144243,19,2021-03-15 07:54:26
14042,6317117,3315400,9346039,6,2021-03-15 07:54:26
6425,1503600,1499300,3864663,3,2021-03-15 07:54:26
55549,1027082,946600,1584604,3,2021-03-15 07:54:26
114001,96076110,300000000,31605774,1,2021-03-15 07:54:26
2572,313930,100000,318619,11,2021-03-15 07:54:26
128314,6140795,5250000,5698166,7,2021-03-15 07:54:26
1839,359387630,0,248825334,0,2021-03-15 07:54:26
10606,3460625,1617500,4761813,13,2021-03-15 07:54:26
3427,3698883,3698700,3398055,9,2021-03-15 07:54:26
4344,211496,209700,198082,15,2021-03-15 07:54:26
116522,27478613,5000000,20238416,2,2021-03-15 07:54:26
13467,88453,125500,205830,7,2021-03-15 07:54:26
10266,1646822,330000,1763602,18,2021-03-15 07:54:26
15412,671066,648300,383483,9,2021-03-15 07:54:26
72238,661479,650000,471578,39,2021-03-15 07:54:26
108996,23127,9800,15979,17,2021-03-15 07:54:26
24804,586508,100000,369328,9,2021-03-15 07:54:26
9999,163805,79900,464265,22,2021-03-15 07:54:26
14463,248696,240200,1371874,9,2021-03-15 07:54:26
20955,2212772,1500000,3810156,11,2021-03-15 07:54:26
77530,3681737,2000000,6539467,22,2021-03-15 07:54:26
56482,947364,941600,1243997,3,2021-03-15 07:54:26
13866,1497334,1497100,245146,18,2021-03-15 07:54:26
83007,1838012,1758200,3252963,5,2021-03-15 07:54:26
117452,2300,0,1502300,0,2021-03-15 07:54:26
77546,7223907,6661900,2136882,1,2021-03-15 07:54:26
2589,621,300,1354,72,2021-03-15 07:54:26
14808,136680,43500,4921220,10,2021-03-15 07:54:26
4339,26468,18800,33006,17,2021-03-15 07:54:26
109126,14043,8400,18223,57,2021-03-15 07:54:26
82155,61892940,59164200,23015180,2,2021-03-15 07:54:26
3480,221240,130800,334813,1,2021-03-15 07:54:26
118565,245305053,120000000,187268920,1,2021-03-15 07:54:26
23424,378082,380000,338148,29,2021-03-15 07:54:26
6240,840840,299900,1093763,7,2021-03-15 07:54:26
93436,3503672,3502900,3667532,5,2021-03-15 07:54:26
6587,231346,162200,367834,6,2021-03-15 07:54:26
3421,1372714,990000,1427942,1,2021-03-15 07:54:26
78198,640464361,679124500,468568431,3,2021-03-15 07:54:26
5001,31767996,12503300,29453328,7,2021-03-15 07:54:26
12022,1801585,1590900,1043802,12,2021-03-15 07:54:26
