itemString,marketValue,minBuyout,historical,numAuctions,date
14811,13949062,13924800,15946182,4,2021-03-15 07:54:23
72120,89959,99000,68477,12,2021-03-15 07:54:23
4338,3014,1700,4763,22,2021-03-15 07:54:23
2825,231188845,233426700,188641848,2,2021-03-15 07:54:23
7974,27083,16900,1351016,13,2021-03-15 07:54:23
10197,544448,454100,625684,1,2021-03-15 07:54:23
113264,6297,1900,5473,16,2021-03-15 07:54:23
108996,60487,46500,57719,21,2021-03-15 07:54:23
52328,585781,480000,324787,30,2021-03-15 07:54:23
15381,9715490,3946500,12471985,4,2021-03-15 07:54:23
68789,25901062,1500000,22628587,1,2021-03-15 07:54:23
8196,2082454,450100,4929281,3,2021-03-15 07:54:23
24894,84039158,53234800,1008806,2,2021-03-15 07:54:23
24779,1254293,1300000,1465546,6,2021-03-15 07:54:23
13028,21566600,21566600,31428921,3,2021-03-15 07:54:23
14931,5009003,5009000,16899690,4,2021-03-15 07:54:23
33470,14658,10000,9725,80,2021-03-15 07:54:23
113588,72965,64900,114052,13,2021-03-15 07:54:23
118472,615265,700000,589276,5,2021-03-15 07:54:23
36534,21183217,0,16831464,0,2021-03-15 07:54:23
113262,6475,1000,5784,10,2021-03-15 07:54:23
3860,136853,40000,129673,8,2021-03-15 07:54:23
111557,15748,8900,22539,73,2021-03-15 07:54:23
52329,445017,330000,365749,11,2021-03-15 07:54:23
24891,413632,459100,455851,5,2021-03-15 07:54:23
16203,109432,81000,127818,13,2021-03-15 07:54:23
79010,10640,4500,23597,20,2021-03-15 07:54:23
7080,7613293,12000000,7655420,1,2021-03-15 07:54:23
9889,6277115,2023600,11889808,2,2021-03-15 07:54:23
116561,62932712,0,84074165,0,2021-03-15 07:54:23
12809,4650951,11369600,2963521,2,2021-03-15 07:54:23
111673,730864,74600,2366345,6,2021-03-15 07:54:23
52183,287469,188900,448125,9,2021-03-15 07:54:23
14955,48196318,44080200,30799631,3,2021-03-15 07:54:23
10122,1040024,493200,6698063,8,2021-03-15 07:54:23
109585,461273,2500000,72354,6,2021-03-15 07:54:23
