itemString,marketValue,minBuyout,historical,numAuctions,date
109140,247337,4500,299980,8,2021-03-15 07:54:22
76097,14933,7400,53830,3,2021-03-15 07:54:22
20858,13889,41400,5459,1,2021-03-15 07:54:22
9939,118178,89200,796195,3,2021-03-15 07:54:22
7912,7749,3000,8048,18,2021-03-15 07:54:22
122346,17275191,25500000,10647586,1,2021-03-15 07:54:22
104108,1265542,1259400,476209,20,2021-03-15 07:54:22
5466,181777,13500,173453,2,2021-03-15 07:54:22
12364,390394,160000,118530,19,2021-03-15 07:54:22
42731,21653816,21653200,21657664,6,2021-03-15 07:54:22
109125,12755,11000,9359,30,2021-03-15 07:54:22
52186,1026083,910000,1261229,17,2021-03-15 07:54:22
52328,370190,152000,509926,30,2021-03-15 07:54:22
82251,142525,37500,157157,10,2021-03-15 07:54:22
20878,365931,594700,383547,1,2021-03-15 07:54:22
55683,2185732,3050200,1656062,2,2021-03-15 07:54:22
15216,459936,391800,1929300,9,2021-03-15 07:54:22
109139,26546,3000,12157,6,2021-03-15 07:54:22
8169,605645,280000,85786,7,2021-03-15 07:54:22
35627,447317,390000,339869,6,2021-03-15 07:54:22
2838,17035,15000,18509,19,2021-03-15 07:54:22
82207,589739,1993500,2601137,4,2021-03-15 07:54:22
36008,0,0,1529566,0,2021-03-15 07:54:22
24478,452100,5500,167765,15,2021-03-15 07:54:22
24648,1807447,1362900,2769360,10,2021-03-15 07:54:22
35624,66934,50000,84415,10,2021-03-15 07:54:22
72103,363133,361400,359952,24,2021-03-15 07:54:22
109119,66285,149900,41501,10,2021-03-15 07:54:22
27944,266965,345000,166928,4,2021-03-15 07:54:22
2675,950873,66600,775882,4,2021-03-15 07:54:22
109118,8048,3500,9014,43,2021-03-15 07:54:22
72094,362705,306800,401005,21,2021-03-15 07:54:22
14957,7342100,4562300,13458998,6,2021-03-15 07:54:22
2840,95996,80000,38354,21,2021-03-15 07:54:22
118472,759181,969500,587344,10,2021-03-15 07:54:22
25251,55036440,36797900,65504755,4,2021-03-15 07:54:22
4340,1653502,200,1284936,1,2021-03-15 07:54:22
3860,148127,70000,216868,14,2021-03-15 07:54:22
52325,388910,250000,381558,17,2021-03-15 07:54:22
16223,58827975,45007000,38935298,4,2021-03-15 07:54:22
89112,217263,180500,183367,26,2021-03-15 07:54:22
14962,7921924,3490000,37575437,3,2021-03-15 07:54:22
14902,866446,786600,2868999,6,2021-03-15 07:54:22
21841,79254,79000,79403,218,2021-03-15 07:54:22
805,685000,103500,250215,10,2021-03-15 07:54:22
68134,1973815,1210000,1785487,5,2021-03-15 07:54:22
20860,8559,25800,8466,1,2021-03-15 07:54:22
112164,13302203,13988700,6170903,6,2021-03-15 07:54:22
20864,10121,23800,5228,2,2021-03-15 07:54:22
6350,2102305,1991400,1308959,8,2021-03-15 07:54:22
6662,110391,88200,180739,10,2021-03-15 07:54:22
31894,952495,939900,1631277,6,2021-03-15 07:54:22
128316,3149783,2499900,2105080,31,2021-03-15 07:54:22
82274,5461551,89200,526799,5,2021-03-15 07:54:22
38949,108054,117500,85475,5,2021-03-15 07:54:22
108439,9993007,9999100,9616975,9,2021-03-15 07:54:22
116611,12783573,1006700,18485359,5,2021-03-15 07:54:22
76643,4641165,4643700,5237864,1,2021-03-15 07:54:22
58146,16158385,948800,1359319,3,2021-03-15 07:54:22
20863,13184,31000,13445,2,2021-03-15 07:54:22
118631,391198,331500,1188652,5,2021-03-15 07:54:22
116425,45742327,54986500,17695543,3,2021-03-15 07:54:22
127759,12064,19800,5866,12,2021-03-15 07:54:22
10940,28352,15500,27840,7,2021-03-15 07:54:22
76699,19021374,18872700,10793676,2,2021-03-15 07:54:22
110609,9653,8300,13199,26,2021-03-15 07:54:22
41599,1396257,1200700,1377978,12,2021-03-15 07:54:22
94093,21770096,27878600,31994823,2,2021-03-15 07:54:22
116551,26404232,26354500,23545065,3,2021-03-15 07:54:22
66994,6568811,4700000,9657635,6,2021-03-15 07:54:22
22446,52596,45000,42016,13,2021-03-15 07:54:22
15273,480186,299900,903832,4,2021-03-15 07:54:22
10028,8890171,7865100,4086563,5,2021-03-15 07:54:22
122343,5184107,6900000,2045454,1,2021-03-15 07:54:22
60217,3502318,1509900,9863905,13,2021-03-15 07:54:22
72238,383973,104000,468021,24,2021-03-15 07:54:22
113588,1121507,806000,584488,12,2021-03-15 07:54:22
37702,188306,155000,215223,18,2021-03-15 07:54:22
94074,199765755,227596200,78225557,3,2021-03-15 07:54:22
9896,376517,517100,462656,2,2021-03-15 07:54:22
118339,33096051,99995100,10437960,5,2021-03-15 07:54:22
41394,127742143,127741700,105208406,5,2021-03-15 07:54:22
94214,41830882,30000000,22765258,4,2021-03-15 07:54:22
113261,5182,1900,5004,21,2021-03-15 07:54:22
51950,933325,1750000,1016322,7,2021-03-15 07:54:22
111668,327019,39900,212488,5,2021-03-15 07:54:22
2770,47600,35000,25006,18,2021-03-15 07:54:22
42751,1864000,1864000,1448766,9,2021-03-15 07:54:22
113262,2195,3900,2994,18,2021-03-15 07:54:22
22904,70561127,103873300,19028231,1,2021-03-15 07:54:22
55642,24857251,27355000,19283690,3,2021-03-15 07:54:22
14655,6650724,5803600,15418103,12,2021-03-15 07:54:22
79249,9596676,5001900,12411221,4,2021-03-15 07:54:22
7734,531269,217600,3242134,1,2021-03-15 07:54:22
