itemString,marketValue,minBuyout,historical,numAuctions,date
127991,5087040,5007900,3439006,1,2021-03-15 07:54:20
109148,531850,2400000,514816,2,2021-03-15 07:54:20
58489,2053383,1300000,6644828,4,2021-03-15 07:54:20
3818,97361,70000,270133,6,2021-03-15 07:54:20
127759,54038,95900,42042,16,2021-03-15 07:54:20
23424,702957,700000,657831,10,2021-03-15 07:54:20
89737,698175,697900,771775,4,2021-03-15 07:54:20
112302,1089342363,1950000000,19581658,2,2021-03-15 07:54:20
74711,303592,303400,318651,6,2021-03-15 07:54:20
36916,1280092,1005000,1140006,8,2021-03-15 07:54:20
122344,81900,0,31569,0,2021-03-15 07:54:20
15531,49878354,55102300,35731278,3,2021-03-15 07:54:20
2589,5536,5000,4596,57,2021-03-15 07:54:20
10300,6385127,7519900,6418060,3,2021-03-15 07:54:20
21841,118676,96900,192266,61,2021-03-15 07:54:20
36614,0,0,567718842,0,2021-03-15 07:54:20
80433,136104,58000,358370,11,2021-03-15 07:54:20
112115,2905764,3086600,1057410,3,2021-03-15 07:54:20
79010,14780,20100,17518,20,2021-03-15 07:54:20
4289,5525831,100,35983490,2,2021-03-15 07:54:20
10940,17361,9000,26938,14,2021-03-15 07:54:20
2838,16434,18000,17480,6,2021-03-15 07:54:20
43126,25561140,900000,5006857,7,2021-03-15 07:54:20
10302,2465215,2465200,8468841,7,2021-03-15 07:54:20
24945,1940165,1208800,32085294,3,2021-03-15 07:54:20
31902,2443997,1507600,14842241,2,2021-03-15 07:54:20
12361,11478,9600,49778,17,2021-03-15 07:54:20
76061,3085610,3530000,2835109,31,2021-03-15 07:54:20
72238,1035247,1460000,611724,20,2021-03-15 07:54:20
113262,5432,2200,7432,17,2021-03-15 07:54:20
43386,3407764,3382800,5398228,13,2021-03-15 07:54:20
109156,251603,100000,551348,5,2021-03-15 07:54:20
23781,545133,408400,560924,7,2021-03-15 07:54:20
53070,131912,149800,238718,6,2021-03-15 07:54:20
109118,6792,3500,6066,21,2021-03-15 07:54:20
52985,548629,592000,587464,9,2021-03-15 07:54:20
22573,119997,64900,54070,19,2021-03-15 07:54:20
32428,10470,25300,6852,7,2021-03-15 07:54:20
129216,32500800,32500800,31269012,3,2021-03-15 07:54:20
34055,1377098,4400000,598363,7,2021-03-15 07:54:20
23426,4382549,3500000,4272704,9,2021-03-15 07:54:20
31186,25401889,0,18250950,0,2021-03-15 07:54:20
118576,339493,70000,1090261,3,2021-03-15 07:54:20
106411,133525127,201076700,100858938,1,2021-03-15 07:54:20
94085,59880487,64472300,59746852,1,2021-03-15 07:54:20
36626,73452823,95000000,74381710,4,2021-03-15 07:54:20
76734,1740372,1557000,1786304,18,2021-03-15 07:54:20
116644,90086142,90000000,112066135,5,2021-03-15 07:54:20
7077,292507,497000,17122,13,2021-03-15 07:54:20
53038,595454,500000,549794,5,2021-03-15 07:54:20
24682,3589942,896300,3123080,3,2021-03-15 07:54:20
2840,67148,50000,69536,11,2021-03-15 07:54:20
94288,21301,35500,18307,23,2021-03-15 07:54:20
109133,10629,10000,682948,20,2021-03-15 07:54:20
14163,459419528,492181400,353207187,1,2021-03-15 07:54:20
76139,1898636,1980000,1196614,11,2021-03-15 07:54:20
113264,14302,9500,9224,15,2021-03-15 07:54:20
109693,22438,9900,17142,42,2021-03-15 07:54:20
2770,69991,95000,66664,12,2021-03-15 07:54:20
111557,32955,30000,26624,43,2021-03-15 07:54:20
37663,16038549,17000000,13584788,7,2021-03-15 07:54:20
52183,899904,779800,1046635,11,2021-03-15 07:54:20
6672,0,0,378134878,0,2021-03-15 07:54:20
72013,23385613,0,5437625,0,2021-03-15 07:54:20
113588,410429,399300,390206,17,2021-03-15 07:54:20
2601,8017628,7521200,6232282,4,2021-03-15 07:54:20
24897,1497173,900000,12072944,1,2021-03-15 07:54:20
16672,3290739500,3290739500,4764545100,1,2021-03-15 07:54:20
104104,2753441,1990000,3386521,12,2021-03-15 07:54:20
9775,1177690,308400,3539042,2,2021-03-15 07:54:20
10130,1682475,750000,9718811,2,2021-03-15 07:54:20
25151,1759248,1230000,8625238,5,2021-03-15 07:54:20
114821,2508401,2490000,3651187,35,2021-03-15 07:54:20
52719,449881,199900,201164,10,2021-03-15 07:54:20
6594,1174721,0,4988868,0,2021-03-15 07:54:20
72104,13584555,12890000,13019687,15,2021-03-15 07:54:20
36909,1022215,1300000,990701,12,2021-03-15 07:54:20
4306,4291,1700,5782,59,2021-03-15 07:54:20
1318,541782311,0,655083988,0,2021-03-15 07:54:20
76136,478746,440000,254055,8,2021-03-15 07:54:20
45768,5242241,5227400,8776898,6,2021-03-15 07:54:20
23079,19384,10000,454852,12,2021-03-15 07:54:20
12811,123158,24900,1315924,11,2021-03-15 07:54:20
41783,17957953,20000100,16126787,1,2021-03-15 07:54:20
110633,5993900,5993900,6166792,2,2021-03-15 07:54:20
108326,3829094,10000000,478542,6,2021-03-15 07:54:20
16000,159301,109900,166972,11,2021-03-15 07:54:20
94030,59169797,60638400,64441537,2,2021-03-15 07:54:20
86381,200076,194400,390895,2,2021-03-15 07:54:20
38817,52356,59000,32379,4,2021-03-15 07:54:20
52328,261451,270000,232878,26,2021-03-15 07:54:20
25179,26813169,26061900,27432206,4,2021-03-15 07:54:20
59525,40436702,44411600,7939968,2,2021-03-15 07:54:20
113355,2301424,500000,539207,19,2021-03-15 07:54:20
69237,6411,20000,5027,17,2021-03-15 07:54:20
116260,3993784,3970000,5209893,3,2021-03-15 07:54:20
52988,224020,353100,192890,14,2021-03-15 07:54:20
110294,97372,89900,327051,5,2021-03-15 07:54:20
14753,55615556,61869200,47437679,2,2021-03-15 07:54:20
102218,1500104,1500000,1455576,5,2021-03-15 07:54:20
87497,206208592,0,237985972,0,2021-03-15 07:54:20
52376,2278517,1900000,5731891,7,2021-03-15 07:54:20
116553,157425937,207460400,159157304,1,2021-03-15 07:54:20
111665,113282,107800,206324,6,2021-03-15 07:54:20
114056,4058260,607800,7888368,5,2021-03-15 07:54:20
31299,5553729,4569900,5098749,6,2021-03-15 07:54:20
15617,12935938,18390900,13080545,2,2021-03-15 07:54:20
52194,191705,120000,415970,9,2021-03-15 07:54:20
9897,2563836,2500000,3550197,3,2021-03-15 07:54:20
81412,40000,40000,31674,2,2021-03-15 07:54:20
109127,10833,10900,10320,14,2021-03-15 07:54:20
2841,135550,120000,194929,9,2021-03-15 07:54:20
22452,296315,188000,240458,11,2021-03-15 07:54:20
36905,41171,220000,84709,6,2021-03-15 07:54:20
109129,9891,11000,10435,14,2021-03-15 07:54:20
4414,16958592,16783600,18153667,1,2021-03-15 07:54:20
23436,2156282,90000,3764832,8,2021-03-15 07:54:20
