itemString,marketValue,minBuyout,historical,numAuctions,date
6149,138350573,250000000,16641069,1,2021-03-15 07:54:20
51950,3017077,2796300,1451630,5,2021-03-15 07:54:20
113264,9327,3900,8746,20,2021-03-15 07:54:20
8838,808941,73500,451740,9,2021-03-15 07:54:20
25649,17953,16800,17545,8,2021-03-15 07:54:20
19260,16707456,35629600,35676737,1,2021-03-15 07:54:20
111445,674151,391900,5016432,4,2021-03-15 07:54:20
9934,3714841,1262500,3989519,3,2021-03-15 07:54:20
6833,2922309,1250100,45092170,5,2021-03-15 07:54:20
111433,62646346,95015200,7763548,1,2021-03-15 07:54:20
3575,67018,39000,163668,7,2021-03-15 07:54:20
60216,112976049,39687000,99143899,1,2021-03-15 07:54:20
106585,25389343,34171100,24156184,2,2021-03-15 07:54:20
55576,3202932,0,3968027,0,2021-03-15 07:54:20
2318,9746,5000,25209,18,2021-03-15 07:54:20
2838,19196,7500,18543,3,2021-03-15 07:54:20
109220,665967,676900,415863,5,2021-03-15 07:54:20
52756,2807721,0,3712739,0,2021-03-15 07:54:20
2770,68774,90000,57256,5,2021-03-15 07:54:20
10120,464511,825000,521470,4,2021-03-15 07:54:20
20866,482157,99100,8646533,3,2021-03-15 07:54:20
4304,421582,299900,491186,8,2021-03-15 07:54:20
118632,401212396,850000,25627293,9,2021-03-15 07:54:20
7076,10893,3000,9314,14,2021-03-15 07:54:20
24664,361939,424200,358799,4,2021-03-15 07:54:20
113261,24119,6000,16649,21,2021-03-15 07:54:20
4697,1042553,1069800,2315762,4,2021-03-15 07:54:20
34056,109788,40000,95288,17,2021-03-15 07:54:20
14247,1550294,1524300,1316518,6,2021-03-15 07:54:20
10092,7757855,7923400,4711339,2,2021-03-15 07:54:20
9940,928559,622800,4638686,3,2021-03-15 07:54:20
31297,5842618,12004200,9910205,2,2021-03-15 07:54:20
22447,237641,50000,68409,12,2021-03-15 07:54:20
109126,48430,31000,31251,39,2021-03-15 07:54:20
12975,97702529,101828000,99393572,1,2021-03-15 07:54:20
41352,15946355,15927100,16852830,1,2021-03-15 07:54:20
109135,439196,620000,121117,5,2021-03-15 07:54:20
