itemString,marketValue,minBuyout,historical,numAuctions,date
113588,256280,10000,244115,27,2021-03-15 07:54:24
52327,202728,150000,161309,24,2021-03-15 07:54:24
114836,6668257,8978900,1058356,2,2021-03-15 07:54:24
74864,5030,4500,21653,8,2021-03-15 07:54:24
118344,19325427,19999900,6242173,4,2021-03-15 07:54:24
52985,440283,443200,656560,4,2021-03-15 07:54:24
86192,9068462,0,19129889,0,2021-03-15 07:54:24
25284,7815906,4501500,5911627,3,2021-03-15 07:54:24
22573,166239,54200,79744,23,2021-03-15 07:54:24
14449,3674842,3005200,21257680,5,2021-03-15 07:54:24
22793,96200,96200,69925,12,2021-03-15 07:54:24
9934,2030023,5432200,3585281,3,2021-03-15 07:54:24
62323,13299490,2009900,19965175,3,2021-03-15 07:54:24
15283,1200468,1200300,1189129,3,2021-03-15 07:54:24
38861,24148386,0,8441730,0,2021-03-15 07:54:24
113355,441938,458400,344394,25,2021-03-15 07:54:24
109143,40490,102500,8846,7,2021-03-15 07:54:24
8283,25810040,43511200,18280126,1,2021-03-15 07:54:24
109584,6527305,6004900,4416592,7,2021-03-15 07:54:24
15564,1816582,2222200,1143195,3,2021-03-15 07:54:24
72120,41155,19800,45173,14,2021-03-15 07:54:24
118631,77826,74600,1694231,2,2021-03-15 07:54:24
133688,1435015,1500400,259960,1,2021-03-15 07:54:24
14268,181072,145500,1084350,3,2021-03-15 07:54:24
44554,22530690,18500000,19131876,17,2021-03-15 07:54:24
109127,28427,20000,18699,21,2021-03-15 07:54:24
23449,20865244,19990000,17962657,6,2021-03-15 07:54:24
74715,444754,440000,468025,4,2021-03-15 07:54:24
5071,1483272,250000,1188345,2,2021-03-15 07:54:24
78216,788744308,790829800,649164906,1,2021-03-15 07:54:24
14309,22403952,22296800,18304203,8,2021-03-15 07:54:24
1716,36159018,37510400,58508889,5,2021-03-15 07:54:24
110619,3121388,1990200,4277991,2,2021-03-15 07:54:24
78348,11355121,12246000,11274495,4,2021-03-15 07:54:24
127731,0,0,628097100,0,2021-03-15 07:54:24
44941,407433,450700,287724,2,2021-03-15 07:54:24
114811,17648769,17755900,12373069,4,2021-03-15 07:54:24
34054,125988,143100,103545,11,2021-03-15 07:54:24
9931,10098805,9657300,11729721,3,2021-03-15 07:54:24
25022,259806,146600,1231881,4,2021-03-15 07:54:24
16220,396266,379700,707522,7,2021-03-15 07:54:24
109693,4445,4500,5507,54,2021-03-15 07:54:24
64392,2107555,1552000,2311494,12,2021-03-15 07:54:24
111439,447769,451900,227766,4,2021-03-15 07:54:24
22574,688014,1054500,1065253,9,2021-03-15 07:54:24
2449,76090,32200,119107,25,2021-03-15 07:54:24
110620,0,0,15958438,0,2021-03-15 07:54:24
122345,2760114,1008900,3114124,2,2021-03-15 07:54:24
113264,7178,7100,8244,19,2021-03-15 07:54:24
113263,14827,12500,22128,7,2021-03-15 07:54:24
23424,423899,699000,580258,9,2021-03-15 07:54:24
104108,1025557,748000,1126493,9,2021-03-15 07:54:24
98814,205128918,210359400,170964534,2,2021-03-15 07:54:24
6889,1076228,989900,172099,8,2021-03-15 07:54:24
35624,1103630,589600,635781,19,2021-03-15 07:54:24
15385,6773336,19095600,11056243,2,2021-03-15 07:54:24
50379,380663145,449950100,278952689,3,2021-03-15 07:54:24
14934,50954135,56378200,31055263,1,2021-03-15 07:54:24
113289,2491700,2491700,1834871,4,2021-03-15 07:54:24
118630,934565,1099300,908120,4,2021-03-15 07:54:24
115806,787853,0,18800,0,2021-03-15 07:54:24
4341,1023964,980300,856529,1,2021-03-15 07:54:24
127748,25458,20000,942122,25,2021-03-15 07:54:24
52188,422037,15700,710497,2,2021-03-15 07:54:24
36621,0,0,10295105000,0,2021-03-15 07:54:24
109118,10248,2000,10373,15,2021-03-15 07:54:24
79011,8098,7900,17407,8,2021-03-15 07:54:24
3712,643634,573800,616588,6,2021-03-15 07:54:24
52376,39285200,39285200,29239628,2,2021-03-15 07:54:24
10239,3018246,5100800,2227446,2,2021-03-15 07:54:24
109223,9481,1500,3988,5,2021-03-15 07:54:24
7284,184030600,184030600,184155097,3,2021-03-15 07:54:24
122344,15000,15000,19500,1,2021-03-15 07:54:24
10574,118631872,111634700,144576948,3,2021-03-15 07:54:24
31323,66666025,14253900,94598363,2,2021-03-15 07:54:24
12363,7660240,7479600,8620590,6,2021-03-15 07:54:24
14299,22117612,22811600,15697324,3,2021-03-15 07:54:24
14864,15997929,15997600,12631602,5,2021-03-15 07:54:24
43501,31480,29300,20267,6,2021-03-15 07:54:24
24856,2151111,1802700,6211303,4,2021-03-15 07:54:24
24246,769788,19200,78559,21,2021-03-15 07:54:24
60838,2626566,0,1137123,0,2021-03-15 07:54:24
22452,895511,501700,749077,15,2021-03-15 07:54:24
52325,255727,257200,281383,12,2021-03-15 07:54:24
10250,5832849,5000000,12777227,3,2021-03-15 07:54:24
4338,6361,8000,6160,24,2021-03-15 07:54:24
6588,90111960,104837100,37040861,2,2021-03-15 07:54:24
15164,19104482,15477000,21388816,4,2021-03-15 07:54:24
38928,34169,32500,48581,3,2021-03-15 07:54:24
109129,16641,20000,15766,9,2021-03-15 07:54:24
37797,82219374,0,39002220,0,2021-03-15 07:54:24
3858,63035,42400,125482,17,2021-03-15 07:54:24
20817,598320,660200,316646,1,2021-03-15 07:54:24
52196,29850951,29843000,24292177,1,2021-03-15 07:54:24
115504,61895,22900,10123,15,2021-03-15 07:54:24
14302,13503463,12008100,14023506,3,2021-03-15 07:54:24
72145,2714160736,889990100,813071750,2,2021-03-15 07:54:24
7457,8722229,13842300,4313488,3,2021-03-15 07:54:24
72092,68162,58600,146347,7,2021-03-15 07:54:24
71638,4354074,1000000,2051559,14,2021-03-15 07:54:24
24734,15430088,15345100,12010380,2,2021-03-15 07:54:24
2321,171661,509600,59282,3,2021-03-15 07:54:24
76061,2536539,2998600,2152326,28,2021-03-15 07:54:24
128315,36386605,24000000,38605425,19,2021-03-15 07:54:24
7069,540371,540000,379139,9,2021-03-15 07:54:24
32391,231746827,235892800,214775314,3,2021-03-15 07:54:24
111668,844581,300200,346549,2,2021-03-15 07:54:24
45107,19247852,16950000,48317117,1,2021-03-15 07:54:24
53010,52750,160000,27650,22,2021-03-15 07:54:24
7080,759271,635200,1532953,11,2021-03-15 07:54:24
22447,25032,15800,16678,22,2021-03-15 07:54:24
74841,11622,6500,10957,14,2021-03-15 07:54:24
36907,38961,39000,49883,7,2021-03-15 07:54:24
74846,121209,69900,250977,5,2021-03-15 07:54:24
7079,272741,109900,60121,14,2021-03-15 07:54:24
110609,13127,2000,15417,15,2021-03-15 07:54:24
14834,14560292,14121500,37419027,5,2021-03-15 07:54:24
18259,750456,509900,1008528,7,2021-03-15 07:54:24
2605,969775,990100,1021857,3,2021-03-15 07:54:24
2319,96108,59400,103254,13,2021-03-15 07:54:24
18296,1205495,646700,1942205,3,2021-03-15 07:54:24
15359,43089593,22959300,15306860,8,2021-03-15 07:54:24
116119,3313324,9513100,785951,3,2021-03-15 07:54:24
109138,11235,10000,17616,2,2021-03-15 07:54:24
6429,41666751,41637800,28246094,4,2021-03-15 07:54:24
12046,10569898,10006200,6615045,3,2021-03-15 07:54:24
74725,7304736,10006400,6070769,5,2021-03-15 07:54:24
5975,0,0,2789120900,0,2021-03-15 07:54:24
6662,23121,50000,112394,12,2021-03-15 07:54:24
14047,6353,2600,8110,41,2021-03-15 07:54:24
82051,128663435,139321000,130519460,1,2021-03-15 07:54:24
115526,2043049,0,1826206,0,2021-03-15 07:54:24
52326,360921,358900,355013,5,2021-03-15 07:54:24
34057,82849,90000,69734,15,2021-03-15 07:54:24
58488,2070090,1850000,6235775,7,2021-03-15 07:54:24
127759,1939,1000,24424,10,2021-03-15 07:54:24
38844,2142310,2722200,5074744,1,2021-03-15 07:54:24
111656,1379708,1500000,405459,3,2021-03-15 07:54:24
109126,15712,11100,18256,10,2021-03-15 07:54:24
109155,24250747,4854000,3462388,3,2021-03-15 07:54:24
116533,41754613,3002700,56137801,2,2021-03-15 07:54:24
19441,19162,10000,8670,7,2021-03-15 07:54:24
112304,59397289,0,50362616,0,2021-03-15 07:54:24
8831,396674,319800,580539,15,2021-03-15 07:54:24
111557,23997,10000,30991,13,2021-03-15 07:54:24
77321,378201384,478200900,375059126,1,2021-03-15 07:54:24
14192,62857719,61910100,34396227,3,2021-03-15 07:54:24
122348,197872,51900,45185,1,2021-03-15 07:54:24
14768,11665771,11271200,12763191,10,2021-03-15 07:54:24
14564,9798630,20001600,12906271,4,2021-03-15 07:54:24
112297,975190,909300,1364879,1,2021-03-15 07:54:24
25707,849160,830000,646468,11,2021-03-15 07:54:24
