itemString,marketValue,minBuyout,historical,numAuctions,date
3208,393565,353400,529867,6,2021-03-15 07:54:30
115504,37582,56500,46140,10,2021-03-15 07:54:30
14605,3668642,3203200,29000718,16,2021-03-15 07:54:30
118632,4027536,6004600,2275972,2,2021-03-15 07:54:30
14278,9664414,11371000,14894496,4,2021-03-15 07:54:30
24615,1783654,5264000,2316016,4,2021-03-15 07:54:30
18945,2812,2400,3429,10,2021-03-15 07:54:30
22449,382433,330000,537156,13,2021-03-15 07:54:30
90407,668077,401400,484764,3,2021-03-15 07:54:30
7910,12553,7000,10675,38,2021-03-15 07:54:30
74248,1716665,3006200,490447,18,2021-03-15 07:54:30
12202,26530,12000,64883,7,2021-03-15 07:54:30
82011,2571951,2456000,3213698,3,2021-03-15 07:54:30
14252,2671759,2308500,2054301,7,2021-03-15 07:54:30
9897,2937084,3619500,1764033,4,2021-03-15 07:54:30
21877,1552,900,2546,119,2021-03-15 07:54:30
20826,35525625,35003400,22983244,1,2021-03-15 07:54:30
38913,112052619,179999300,69985290,2,2021-03-15 07:54:30
2776,114766,79800,71922,15,2021-03-15 07:54:30
4661,810312,685200,2475880,2,2021-03-15 07:54:30
3836,5953268,5952900,5957340,7,2021-03-15 07:54:30
55600,14178243,14185600,7377945,2,2021-03-15 07:54:30
15654,5320083,5318300,1614294,14,2021-03-15 07:54:30
33430,853167,898200,5049378,2,2021-03-15 07:54:30
23534,1067819243,1021695000,707635091,4,2021-03-15 07:54:30
3575,166112,332000,144179,10,2021-03-15 07:54:30
765,83205,65300,139071,15,2021-03-15 07:54:30
37749,982057842,1065106300,224935257,3,2021-03-15 07:54:30
27438,8568,9000000,45206,1,2021-03-15 07:54:30
109585,439419,88000,700234,8,2021-03-15 07:54:30
72093,52774,53000,39600,34,2021-03-15 07:54:30
109137,50178,87000,50795,4,2021-03-15 07:54:30
55710,522388,504600,541859,4,2021-03-15 07:54:30
111656,366359,348200,768343,1,2021-03-15 07:54:30
74643,1679024,1499800,921342,1,2021-03-15 07:54:30
76544,38207969,0,15993855,0,2021-03-15 07:54:30
53039,8752102,8200000,10365156,8,2021-03-15 07:54:30
115796,78331384,65004000,75361779,2,2021-03-15 07:54:30
72986,282694,190000,489315,10,2021-03-15 07:54:30
118341,44217165,25008300,98281860,1,2021-03-15 07:54:30
116526,15002900,15002900,34968665,1,2021-03-15 07:54:30
9782,5230234,6330600,2136822,6,2021-03-15 07:54:30
2438,16091700,0,21181757,0,2021-03-15 07:54:30
29724,438638856,0,373747541,0,2021-03-15 07:54:30
109119,61472,64000,56197,47,2021-03-15 07:54:30
79254,358177,120000,343450,10,2021-03-15 07:54:30
116276,1617994,80000,117492,5,2021-03-15 07:54:30
18298,11076613,10636700,25932505,5,2021-03-15 07:54:30
14821,3731770,3555500,17736621,11,2021-03-15 07:54:30
10156,1359347,350000,2786666,7,2021-03-15 07:54:30
116481,74213904,0,76111941,0,2021-03-15 07:54:30
36266,1056698,2114600,492082,1,2021-03-15 07:54:30
82032,930745,683400,2907941,2,2021-03-15 07:54:30
31338,256066521,255517500,106907247,2,2021-03-15 07:54:30
118472,526003,499800,730672,15,2021-03-15 07:54:30
4091,16125379,11876900,9096886,4,2021-03-15 07:54:30
6795,1241119,506000,2302256,29,2021-03-15 07:54:30
24674,1291062,1982300,556066,2,2021-03-15 07:54:30
3576,50412,48000,62507,8,2021-03-15 07:54:30
29378,21576829,19169100,30413468,5,2021-03-15 07:54:30
6662,56202,15000,56174,24,2021-03-15 07:54:30
14815,1660993,500600,2494455,1,2021-03-15 07:54:30
113588,375817,354800,499908,8,2021-03-15 07:54:30
109131,297028,50000,103409,35,2021-03-15 07:54:30
23516,477920074,477920000,457773410,1,2021-03-15 07:54:30
76652,27501637,0,6935774,0,2021-03-15 07:54:30
39520,149575,149400,50991,2,2021-03-15 07:54:30
55064,370727747,370727400,369179872,2,2021-03-15 07:54:30
10286,5877,2500,4833,11,2021-03-15 07:54:30
3371,14442,10900,6889,25,2021-03-15 07:54:30
15412,98789,81300,350280,12,2021-03-15 07:54:30
112165,9862525,6498800,6574622,4,2021-03-15 07:54:30
8309,35979399,33174900,51884241,8,2021-03-15 07:54:30
8170,42628,29400,90637,21,2021-03-15 07:54:30
