itemString,marketValue,minBuyout,historical,numAuctions,date
122343,324151,438400,126611,1,2021-03-15 07:54:19
7909,11376,7400,9829,14,2021-03-15 07:54:19
109253,501436,503400,367282,48,2021-03-15 07:54:19
74846,56209,30100,22180,5,2021-03-15 07:54:19
10187,29353201,43070400,16299772,2,2021-03-15 07:54:19
8278,10304081,6634400,9490278,5,2021-03-15 07:54:19
19275,478890,1008800,336582,1,2021-03-15 07:54:19
41251,3527539,4013600,2792611,6,2021-03-15 07:54:19
110642,3117555,595800,4180990,3,2021-03-15 07:54:19
118631,649085,399900,981398,10,2021-03-15 07:54:19
116630,2763759,6565700,1493503,1,2021-03-15 07:54:19
118472,514981,500000,527604,7,2021-03-15 07:54:19
44128,592186,350000,2628145,11,2021-03-15 07:54:19
128018,0,0,183665537,0,2021-03-15 07:54:19
82224,29615815,33431200,27315546,3,2021-03-15 07:54:19
31289,423305899,0,308581784,0,2021-03-15 07:54:19
7076,13613,11800,5174,8,2021-03-15 07:54:19
55768,0,0,154700,0,2021-03-15 07:54:19
31219,418760000,0,333659484,0,2021-03-15 07:54:19
109218,209321,500000,133179,5,2021-03-15 07:54:19
8827,121366,100100,43465,7,2021-03-15 07:54:19
127759,28571,15700,8707,19,2021-03-15 07:54:19
118630,925318,197900,1091753,10,2021-03-15 07:54:19
110609,17966,7000,15599,32,2021-03-15 07:54:19
34055,48583,39800,30099,14,2021-03-15 07:54:19
109126,13994,10000,11863,39,2021-03-15 07:54:19
52329,488597,209900,538331,12,2021-03-15 07:54:19
110626,25646444,31626900,14560535,3,2021-03-15 07:54:19
33154,167137,90000,144431,39,2021-03-15 07:54:19
25708,1333123,249800,963916,7,2021-03-15 07:54:19
113588,43960,14900,65708,10,2021-03-15 07:54:19
116183,2968745,2855000,3389080,3,2021-03-15 07:54:19
109127,11779,10000,10425,50,2021-03-15 07:54:19
108996,40430,17400,27582,17,2021-03-15 07:54:19
104108,355947,299600,455806,9,2021-03-15 07:54:19
10169,8936263,8910400,8179960,8,2021-03-15 07:54:19
74840,35175,30000,23095,7,2021-03-15 07:54:19
109118,17632,9900,5539,24,2021-03-15 07:54:19
82151,0,0,2004300,0,2021-03-15 07:54:19
52183,350512,431100,375554,6,2021-03-15 07:54:19
114836,233075,79900,322848,5,2021-03-15 07:54:19
109129,13654,21900,11213,17,2021-03-15 07:54:19
58488,8808459,9000000,6585697,3,2021-03-15 07:54:19
61978,60711500,1999800,1916712,4,2021-03-15 07:54:19
24868,9554706,9409700,5458300,6,2021-03-15 07:54:19
10620,8470,6000,10822,7,2021-03-15 07:54:19
109125,15319,9500,10545,16,2021-03-15 07:54:19
109171,74125394,100692300,70333721,3,2021-03-15 07:54:19
21800,32616397,30361900,17610637,4,2021-03-15 07:54:19
109128,14320,20900,10983,19,2021-03-15 07:54:19
82276,6605623,6009900,4741777,3,2021-03-15 07:54:19
128315,21635137,15839900,24199929,21,2021-03-15 07:54:19
5786,15008006,2000000,4943630,3,2021-03-15 07:54:19
14442,4475822,5000000,2928737,3,2021-03-15 07:54:19
111557,16717,15400,17933,39,2021-03-15 07:54:19
43122,648099,550900,1162687,4,2021-03-15 07:54:19
115811,14493237,0,11487746,0,2021-03-15 07:54:19
6358,207266,200100,190865,4,2021-03-15 07:54:19
2570,338745,750000,492375,1,2021-03-15 07:54:19
774,31859,9900,33756,18,2021-03-15 07:54:19
15171,9846325,9800100,24163634,3,2021-03-15 07:54:19
53010,58677,82000,36115,23,2021-03-15 07:54:19
49908,428581,99900,253901,11,2021-03-15 07:54:19
89112,256596,189800,206331,47,2021-03-15 07:54:19
43613,1253939681,0,794868474,0,2021-03-15 07:54:19
109124,12352,10000,11666,57,2021-03-15 07:54:19
53643,935962,1199900,392895,5,2021-03-15 07:54:19
82228,1490194,885600,1159868,1,2021-03-15 07:54:19
106716,16538491,19784800,3729525,3,2021-03-15 07:54:19
116587,0,0,202400,0,2021-03-15 07:54:19
