itemString,marketValue,minBuyout,historical,numAuctions,date
15119,1869351,1127900,4960860,3,2021-03-15 07:54:24
14275,7350671,7216800,3938294,2,2021-03-15 07:54:24
10389,4295624,7500000,5467259,8,2021-03-15 07:54:24
36392,2440484,1007800,2452767,4,2021-03-15 07:54:24
41508,399992846,399990700,426749266,16,2021-03-15 07:54:24
98792,105278900,114341800,46672435,5,2021-03-15 07:54:24
94104,13915906,13000800,23187049,5,2021-03-15 07:54:24
39682,1976974,1000000,793077,17,2021-03-15 07:54:24
79101,384446,287400,482018,5,2021-03-15 07:54:24
111557,15275,12800,15525,77,2021-03-15 07:54:24
108996,84433,29400,28400,33,2021-03-15 07:54:24
109217,839672,400000,1743553,9,2021-03-15 07:54:24
94080,183522996,150004600,150495862,3,2021-03-15 07:54:24
14727,4412265,2509600,19225950,12,2021-03-15 07:54:24
35761,4533002,3999900,3426849,3,2021-03-15 07:54:24
3392,4872437230,0,5266127300,0,2021-03-15 07:54:24
109693,47610,5500,25121,65,2021-03-15 07:54:24
109126,19156,18500,22603,15,2021-03-15 07:54:24
110609,15575,9900,21677,31,2021-03-15 07:54:24
42751,1094113,1093200,916505,9,2021-03-15 07:54:24
8117,1051442,663400,3843506,9,2021-03-15 07:54:24
72988,5193,2500,5741,111,2021-03-15 07:54:24
52987,236951,300000,112691,8,2021-03-15 07:54:24
104127,1992035,1940000,1551392,7,2021-03-15 07:54:24
33470,5551,4400,11120,51,2021-03-15 07:54:24
82039,5304344,5321400,6609657,2,2021-03-15 07:54:24
20901,12000000000,0,7561110000,0,2021-03-15 07:54:24
36147,331277,250000,586484,6,2021-03-15 07:54:24
2985,4374480,5841200,6825421,8,2021-03-15 07:54:24
14746,4484243,4299900,5812737,9,2021-03-15 07:54:24
87409,1402720,796900,651579,12,2021-03-15 07:54:24
6422,1767655,1778700,2254297,8,2021-03-15 07:54:24
87425,5383381,3009700,21068734,8,2021-03-15 07:54:24
72238,1251324,1159800,1252972,22,2021-03-15 07:54:24
127759,6813,10000,18967,17,2021-03-15 07:54:24
7191,1345845,1000000,271178,5,2021-03-15 07:54:24
76142,1814602,1450000,2159264,4,2021-03-15 07:54:24
52325,269919,170000,216482,24,2021-03-15 07:54:24
7912,12450,9900,10328,14,2021-03-15 07:54:24
41346,144225713,199999700,62534492,3,2021-03-15 07:54:24
12809,399918,399900,535458,6,2021-03-15 07:54:24
10091,1360556,890500,5760099,5,2021-03-15 07:54:24
127762,318697202,358557900,170107139,2,2021-03-15 07:54:24
32428,10488,10000,25523,22,2021-03-15 07:54:24
54446,25671567,21359000,28213389,6,2021-03-15 07:54:24
74844,11434,14000,19188,27,2021-03-15 07:54:24
113588,1421108,1400000,776053,12,2021-03-15 07:54:24
110626,496758,499900,483565,2,2021-03-15 07:54:24
75121,74634231,74634000,74660089,9,2021-03-15 07:54:24
32227,710689,503700,851258,4,2021-03-15 07:54:24
14269,902749,889800,1136766,4,2021-03-15 07:54:24
52721,417960,410000,284231,19,2021-03-15 07:54:24
110654,2179536,2199900,1895669,2,2021-03-15 07:54:24
118632,5581522,2499900,1627982,4,2021-03-15 07:54:24
16203,14316,8800,23512,20,2021-03-15 07:54:24
36067,31384995,0,15064443,0,2021-03-15 07:54:24
104241,272794106,0,145914014,0,2021-03-15 07:54:24
24263,545044371,545044100,545080216,1,2021-03-15 07:54:24
14939,3897704,3868400,11212856,6,2021-03-15 07:54:24
2775,415335,332100,825611,15,2021-03-15 07:54:24
37663,13387716,13387700,17425325,11,2021-03-15 07:54:24
36333,17701601,0,36092533,0,2021-03-15 07:54:24
44721,24495792,14593700,42249401,3,2021-03-15 07:54:24
4338,2571,1500,35099,75,2021-03-15 07:54:24
